,missing_count,missing_percent
GASOLINE,1491,24.4747209455023
ALUMINIUM,47,0.7715036112934998
ZINC,46,0.7550886408404465
NICKEL,46,0.7550886408404465
WHEAT,14,0.2298095863427446
HRW WHEAT,14,0.2298095863427446
SOYBEAN OIL,13,0.2133946158896914
SILVER,13,0.2133946158896914
COTTON,13,0.2133946158896914
COFFEE,12,0.1969796454366382
SOYBEAN MEAL,10,0.16414970453053185
GOLD,10,0.16414970453053185
SOYBEANS,9,0.14773473407747867
WTI CRUDE,9,0.14773473407747867
NATURAL GAS,9,0.14773473407747867
COPPER,9,0.14773473407747867
SUGAR,9,0.14773473407747867
ULS DIESEL,9,0.14773473407747867
CORN,8,0.13131976362442546
LIVE CATTLE,8,0.13131976362442546
LEAN HOGS,8,0.13131976362442546
BRENT CRUDE,2,0.032829940906106365
LOW SULPHUR GAS OIL,2,0.032829940906106365
Date,0,0.0
